"varid","decision"
"D08MENTL","stigmatizing"
"E08MENTL","stigmatizing"
"F08MENTL","stigmatizing"
"A09BCTM1","stigmatizing"
"J084","stigmatizing"
"E313","stigmatizing"
"G060","stigmatizing"
"G3B0102","stigmatizing"
"G3B0103","stigmatizing"
"EVAGDUR_X","stigmatizing"
"PRGCRM_X","stigmatizing"
"PRGSUP_X","stigmatizing"
"C08OVYRM","stigmatizing"
"G3A131","stigmatizing"
"F68MP3MO","stigmatizing"
"MF545","stigmatizing"
"PPLTYPE_4","stigmatizing"
"PPLTYPE_5","stigmatizing"
"NPI10A","stigmatizing"
"NPI11B","stigmatizing"
"C09HELP","stigmatizing"
"A03SEP","stigmatizing"
"D44SXSUM","stigmatizing"
"H036","stigmatizing"
"A04LOVE","stigmatizing"
"B04STRSC","stigmatizing"
"F18RBSTD","stigmatizing"
"F18R7STD","stigmatizing"
"B17CRACK","stigmatizing"
"C17LIFCO","stigmatizing"
"B17LIFEC","stigmatizing"
"C17COC24","stigmatizing"
"C17CRA24","stigmatizing"
"D17HEROI","stigmatizing"
"E17HEROI","stigmatizing"
"C17HEROI","stigmatizing"
"F17HEROI","stigmatizing"
"C17HER24","stigmatizing"
"C17MAJ24","stigmatizing"
"C17SPD24","stigmatizing"
"ETTYPE_3","stigmatizing"
"PPLTYPE_3","stigmatizing"
"A04ATTAC","stigmatizing"
"A04CONVC","stigmatizing"
"A03WIDOW","stigmatizing"
"WINE225","stigmatizing"
"EPTYPE_6","stigmatizing"
"EPTYPE_7","stigmatizing"
"A09BCTY1","stigmatizing"
"RHXC11A","stigmatizing"
"A17MJ30D","stigmatizing"
"ADRB5","stigmatizing"
"FP500","stigmatizing"
"FP503","stigmatizing"
"ALCOFTEN_6","stigmatizing"
"ALCOHOL","stigmatizing"
"ALCSWK","stigmatizing"
"A04ENGAG","stigmatizing"
"G104","stigmatizing"
"G106","stigmatizing"
"A04ENGBK","stigmatizing"
"FR155","stigmatizing"
"FR146","stigmatizing"
"FR147","stigmatizing"
"FR156","stigmatizing"
"FR152","stigmatizing"
"FR154","stigmatizing"
"FW541","stigmatizing"
"FX541","stigmatizing"
"FY541","stigmatizing"
"FW529","stigmatizing"
"FX529","stigmatizing"
"FY529","stigmatizing"
"FW528","stigmatizing"
"FX528","stigmatizing"
"FY528","stigmatizing"
"FW532","stigmatizing"
"FX532","stigmatizing"
"FY532","stigmatizing"
"G3B0666","stigmatizing"
"G587","stigmatizing"
"FV523","stigmatizing"
"FV520","stigmatizing"
"G3A521","stigmatizing"
"G3A518","stigmatizing"
